series_id        	seasonal	owner_code	industry_code	occupation_code	subcell_code	area_code	datatype_code	estimate_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
CMU1010000000000D	U	1	000000	000000	00	99999	D	01	All Civilian Total compensation for All occupations; Cost per hour worked	C	2004	Q01	2021	Q01
CMU1010000000000L	U	1	000000	000000	00	99999	L	01	Total compensation costs per hour worked at 50th percentile (median) for civilian workers, constant dollar		2009	Q01	2021	Q01
CMU1010000000000M	U	1	000000	000000	00	99999	M	01	Total compensation costs per hour worked at 50th percentile (median) for civilian workers, current dollar		2009	Q01	2021	Q01
CMU1010000000000N	U	1	000000	000000	00	99999	N	01	Total compensation costs per hour worked at 90th percentile for civilian workers, current dollar		2009	Q01	2021	Q01
CMU1010000000000P	U	1	000000	000000	00	99999	P	01	All Civilian Total compensation for All occupations; Percent of total compensation	C	2004	Q01	2021	Q01
CMU1010000000000R	U	1	000000	000000	00	99999	R	01	Total compensation costs per hour worked at 90th percentile for civilian workers, constant dollar		2009	Q01	2021	Q01
CMU1010000000000T	U	1	000000	000000	00	99999	T	01	Total compensation costs per hour worked at 10th percentile for civilian workers, current dollar		2009	Q01	2021	Q01
CMU1010000000000X	U	1	000000	000000	00	99999	X	01	Total compensation costs per hour worked at 10th percentile for civilian workers, constant dollar		2009	Q01	2021	Q01
CMU1010000100000D	U	1	000000	112900	00	99999	D	01	All Civilian Total compensation for Management, professional, and related occupations; Cost per hour worked	3	2004	Q01	2021	Q01
CMU1010000100000P	U	1	000000	112900	00	99999	P	01	All Civilian Total compensation for Management, professional, and related occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1010000110000D	U	1	000000	111300	00	99999	D	01	All Civilian Total compensation for Management, business, and financial occupations; Cost per hour worked	3	2004	Q01	2021	Q01
CMU1010000110000P	U	1	000000	111300	00	99999	P	01	All Civilian Total compensation for Management, business, and financial occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1010000120000D	U	1	000000	152900	00	99999	D	01	All Civilian Total compensation for Professional and related occupations; Cost per hour worked	3	2004	Q01	2021	Q01
CMU1010000120000P	U	1	000000	152900	00	99999	P	01	All Civilian Total compensation for Professional and related occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU101000012A000D	U	1	000000	250001	00	99999	D	01	All Civilian Total compensation for Teachers; Cost per hour worked	3	2004	Q01	2021	Q01
CMU101000012A000P	U	1	000000	250001	00	99999	P	01	All Civilian Total compensation for Teachers; Percent of total compensation		2004	Q01	2021	Q01
CMU101000012C000D	U	1	000000	252000	00	99999	D	01	All Civilian Total compensation for Primary, secondary, and special education school teachers; Cost per hour worked	3	2004	Q01	2021	Q01
CMU101000012C000P	U	1	000000	252000	00	99999	P	01	All Civilian Total compensation for Primary, secondary, and special education school teachers; Percent of total compensation		2004	Q01	2021	Q01
CMU101000012N000D	U	1	000000	291111	00	99999	D	01	All Civilian Total compensation for Registered nurses; Cost per hour worked	2	2004	Q01	2021	Q01
CMU101000012N000P	U	1	000000	291111	00	99999	P	01	All Civilian Total compensation for Registered nurses; Percent of total compensation	2	2004	Q01	2021	Q01
CMU1010000200000D	U	1	000000	414300	00	99999	D	01	All Civilian Total compensation for Sales and office occupations; Cost per hour worked		2004	Q01	2021	Q01
CMU1010000200000P	U	1	000000	414300	00	99999	P	01	All Civilian Total compensation for Sales and office occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1010000210000D	U	1	000000	410000	00	99999	D	01	All Civilian Total compensation for Sales and related occupations; Cost per hour worked		2004	Q01	2021	Q01
CMU1010000210000P	U	1	000000	410000	00	99999	P	01	All Civilian Total compensation for Sales and related occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1010000220000D	U	1	000000	430000	00	99999	D	01	All Civilian Total compensation for Office and administrative support occupations; Cost per hour worked		2004	Q01	2021	Q01
CMU1010000220000P	U	1	000000	430000	00	99999	P	01	All Civilian Total compensation for Office and administrative support occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1010000300000D	U	1	000000	313900	00	99999	D	01	All Civilian Total compensation for Service occupations; Cost per hour worked		2004	Q01	2021	Q01
CMU1010000300000P	U	1	000000	313900	00	99999	P	01	All Civilian Total compensation for Service occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1010000400000D	U	1	000000	454900	00	99999	D	01	All Civilian Total compensation for Natural resources, construction, and maintenance occupations; Cost per hour worked		2004	Q01	2021	Q01
CMU1010000400000P	U	1	000000	454900	00	99999	P	01	All Civilian Total compensation for Natural resources, construction, and maintenance occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1010000405000D	U	1	000000	454700	00	99999	D	01	All Civilian Total compensation for Construction, extraction, farming, fishing, and forestry occupations; Cost per hour worked		2006	Q04	2021	Q01
CMU1010000405000P	U	1	000000	454700	00	99999	P	01	All Civilian Total compensation for Construction, extraction, farming, fishing, and forestry occupations; Percent of total compensation		2006	Q04	2021	Q01
CMU1010000420000D	U	1	000000	470000	00	99999	D	01	All Civilian Total compensation for Construction and extraction occupations; Cost per hour worked		2004	Q01	2006	Q03
CMU1010000420000P	U	1	000000	470000	00	99999	P	01	All Civilian Total compensation for Construction and extraction occupations; Percent of total compensation		2004	Q01	2006	Q03
CMU1010000430000D	U	1	000000	490000	00	99999	D	01	All Civilian Total compensation for Installation, maintenance, and repair occupations; Cost per hour worked		2004	Q01	2021	Q01
CMU1010000430000P	U	1	000000	490000	00	99999	P	01	All Civilian Total compensation for Installation, maintenance, and repair occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1010000500000D	U	1	000000	515300	00	99999	D	01	All Civilian Total compensation for Production, transportation, and material moving occupations; Cost per hour worked		2004	Q01	2021	Q01
CMU1010000500000P	U	1	000000	515300	00	99999	P	01	All Civilian Total compensation for Production, transportation, and material moving occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1010000510000D	U	1	000000	510000	00	99999	D	01	All Civilian Total compensation for Production occupations; Cost per hour worked		2004	Q01	2021	Q01
CMU1010000510000P	U	1	000000	510000	00	99999	P	01	All Civilian Total compensation for Production occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1010000520000D	U	1	000000	530000	00	99999	D	01	All Civilian Total compensation for Transportation and material moving occupations; Cost per hour worked		2004	Q01	2021	Q01
CMU1010000520000P	U	1	000000	530000	00	99999	P	01	All Civilian Total compensation for Transportation and material moving occupations; Percent of total compensation		2004	Q01	2021	Q01
CMU1016000000000D	U	1	600000	000000	00	99999	D	01	All Civilian Total compensation for Education and health services industries; Cost per hour worked		2004	Q01	2021	Q01
CMU1016000000000P	U	1	600000	000000	00	99999	P	01	All Civilian Total compensation for Education and health services industries; Percent of total compensation		2004	Q01	2021	Q01
CMU1016100000000D	U	1	610000	000000	00	99999	D	01	All Civilian Total compensation for Educational services; Cost per hour worked		2004	Q01	2021	Q01
CMU1016100000000P	U	1	610000	000000	00	99999	P	01	All Civilian Total compensation for Educational services; Percent of total compensation		2004	Q01	2021	Q01
CMU1016110000000D	U	1	611100	000000	00	99999	D	01	All Civilian Total compensation for Elementary and secondary schools; Cost per hour worked		2004	Q01	2021	Q01
