estimate_code	estimate_text	display_level	selectable	sort_sequence
01	Total compensation	0	T	1
02	Wages and salaries	1	T	2
03	Total benefits	1	T	3
04	Paid leave	2	T	4
05	Vacation	3	T	5
06	Holiday	3	T	6
07	Sick leave	3	T	7
08	Personal leave	3	T	8
09	Supplemental pay	2	T	9
10	Overtime and premium pay	3	T	10
11	Shift differentials	3	T	11
12	Nonproduction bonuses	3	T	12
13	Insurance	2	T	13
14	Life insurance	3	T	14
15	Health insurance	3	T	15
16	Short-term disability insurance	3	T	16
17	Long-term disability insurance	3	T	17
18	Retirement and savings	2	T	18
19	Defined benefit	3	T	19
20	Defined contribution	3	T	20
21	Legally Required benefits	2	T	21
22	Social Security and Medicare	3	T	22
23	Social Security	4	T	23
24	Medicare	4	T	24
25	Federal unemployment insurance	3	T	25
26	State unemployment insurance	3	T	26
27	Workers' compensation	3	T	27
28	Other benefits	2	T	28
