industry_code	industry_name	display_level	selectable	sort_sequence
000000	Cross-industry, Private, Federal, State, and Local Government	0	T	0
000001	Cross-industry, Private Ownership Only	1	T	1
11--12	Sector 11 - Agriculture, Forestry, Fishing and Hunting	2	T	2
113000	Forestry and Logging	3	T	3
113300	Logging	4	T	4
115000	Support Activities for Agriculture and Forestry	3	T	5
115100	Support Activities for Crop Production	4	T	6
115200	Support Activities for Animal Production	4	T	7
21--22	Sector 21 - Mining	2	T	8
211000	Oil and Gas Extraction	3	T	9
211100	Oil and Gas Extraction	4	T	10
212000	Mining (except Oil and Gas)	3	T	11
212100	Coal Mining	4	T	12
212200	Metal Ore Mining	4	T	13
212300	Nonmetallic Mineral Mining and Quarrying	4	T	14
213000	Support Activities for Mining	3	T	15
213100	Support Activities for Mining	4	T	16
22--23	Sector 22 - Utilities	2	T	17
221000	Utilities	3	T	18
221100	Electric Power Generation, Transmission and Distribution	4	T	19
221111	Hydroelectric Power Generation	6	T	20
221112	Fossil Fuel Electric Power Generation	6	T	21
221113	Nuclear Electric Power Generation	6	T	22
221114	Solar Electric Power Generation	6	T	23
221115	Wind Electric Power Generation	6	T	24
221116	Geothermal Electric Power Generation	6	T	25
221117	Biomass Electric Power Generation	6	T	26
221118	Other Electric Power Generation	6	T	27
221200	Natural Gas Distribution	4	T	28
221300	Water, Sewage and Other Systems	4	T	29
23--24	Sector 23 - Construction	2	T	30
236000	Construction of Buildings	3	T	31
236100	Residential Building Construction	4	T	32
236200	Nonresidential Building Construction	4	T	33
237000	Heavy and Civil Engineering Construction	3	T	34
237100	Utility System Construction	4	T	35
237130	Power and Communication Line and Related Structures Construction	5	T	36
237200	Land Subdivision	4	T	37
237300	Highway, Street, and Bridge Construction	4	T	38
237900	Other Heavy and Civil Engineering Construction	4	T	39
238000	Specialty Trade Contractors	3	T	40
238100	Foundation, Structure, and Building Exterior Contractors	4	T	41
238110	Poured Concrete Foundation and Structure Contractors	5	T	42
238140	Masonry Contractors	5	T	43
238160	Roofing Contractors	5	T	44
238200	Building Equipment Contractors	4	T	45
238210	Electrical Contractors and Other Wiring Installation Contractors	5	T	46
238220	Plumbing, Heating, and Air-Conditioning Contractors	5	T	47
238290	Other Building Equipment Contractors	5	T	48
238300	Building Finishing Contractors	4	T	49
238310	Drywall and Insulation Contractors	5	T	50
238320	Painting and Wall Covering Contractors	5	T	51
238900	Other Specialty Trade Contractors	4	T	52
31--34	Sectors 31, 32, and 33 - Manufacturing	2	T	53
311000	Food Manufacturing	3	T	54
311100	Animal Food Manufacturing	4	T	55
311200	Grain and Oilseed Milling	4	T	56
311300	Sugar and Confectionery Product Manufacturing	4	T	57
311400	Fruit and Vegetable Preserving and Specialty Food Manufacturing	4	T	58
311500	Dairy Product Manufacturing	4	T	59
311600	Animal Slaughtering and Processing	4	T	60
311700	Seafood Product Preparation and Packaging	4	T	61
311800	Bakeries and Tortilla Manufacturing	4	T	62
311900	Other Food Manufacturing	4	T	63
312000	Beverage and Tobacco Product Manufacturing	3	T	64
312100	Beverage Manufacturing	4	T	65
312200	Tobacco Manufacturing	4	T	66
313000	Textile Mills	3	T	67
313100	Fiber, Yarn, and Thread Mills	4	T	68
313200	Fabric Mills	4	T	69
313300	Textile and Fabric Finishing and Fabric Coating Mills	4	T	70
314000	Textile Product Mills	3	T	71
314100	Textile Furnishings Mills	4	T	72
314900	Other Textile Product Mills	4	T	73
315000	Apparel Manufacturing	3	T	74
315100	Apparel Knitting Mills	4	T	75
315200	Cut and Sew Apparel Manufacturing	4	T	76
315900	Apparel Accessories and Other Apparel Manufacturing	4	T	77
316000	Leather and Allied Product Manufacturing	3	T	78
316100	Leather and Hide Tanning and Finishing	4	T	79
316200	Footwear Manufacturing	4	T	80
316900	Other Leather and Allied Product Manufacturing	4	T	81
321000	Wood Product Manufacturing	3	T	82
321100	Sawmills and Wood Preservation	4	T	83
321200	Veneer, Plywood, and Engineered Wood Product Manufacturing	4	T	84
321900	Other Wood Product Manufacturing	4	T	85
322000	Paper Manufacturing	3	T	86
322100	Pulp, Paper, and Paperboard Mills	4	T	87
322200	Converted Paper Product Manufacturing	4	T	88
323000	Printing and Related Support Activities	3	T	89
323100	Printing and Related Support Activities	4	T	90
324000	Petroleum and Coal Products Manufacturing	3	T	91
324100	Petroleum and Coal Products Manufacturing	4	T	92
325000	Chemical Manufacturing	3	T	93
3250A1	Chemical Manufacturing (3251, 3252, 3253, and 3259 only)	4	T	94
3250A2	Chemical Manufacturing (3255 and 3256 only)	4	T	96
325400	Pharmaceutical and Medicine Manufacturing	4	T	95
326000	Plastics and Rubber Products Manufacturing	3	T	97
326100	Plastics Product Manufacturing	4	T	98
326200	Rubber Product Manufacturing	4	T	99
327000	Nonmetallic Mineral Product Manufacturing	3	T	100
331000	Primary Metal Manufacturing	3	T	101
331100	Iron and Steel Mills and Ferroalloy Manufacturing	4	T	102
331200	Steel Product Manufacturing from Purchased Steel	4	T	103
331300	Alumina and Aluminum Production and Processing	4	T	104
331400	Nonferrous Metal (except Aluminum) Production and Processing	4	T	105
331500	Foundries	4	T	106
332000	Fabricated Metal Product Manufacturing	3	T	107
3320A1	Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)	4	T	108
3320A2	Fabricated Metal Product Manufacturing (3323 and 3324 only)	4	T	109
332700	Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing	4	T	110
332710	Machine Shops	5	T	111
332720	Turned Product and Screw, Nut, and Bolt Manufacturing	5	T	112
332800	Coating, Engraving, Heat Treating, and Allied Activities	4	T	113
333000	Machinery Manufacturing	3	T	114
3330A1	Machinery Manufacturing (3331, 3332, 3334, and 3339 only)	4	T	115
333300	Commercial and Service Industry Machinery Manufacturing	4	T	116
333500	Metalworking Machinery Manufacturing	4	T	117
333600	Engine, Turbine, and Power Transmission Equipment Manufacturing	4	T	118
334000	Computer and Electronic Product Manufacturing	3	T	119
334100	Computer and Peripheral Equipment Manufacturing	4	T	120
334200	Communications Equipment Manufacturing	4	T	121
334300	Audio and Video Equipment Manufacturing	4	T	122
334400	Semiconductor and Other Electronic Component Manufacturing	4	T	123
334500	Navigational, Measuring, Electromedical, and Control Instruments Manufacturing	4	T	124
334600	Manufacturing and Reproducing Magnetic and Optical Media	4	T	125
335000	Electrical Equipment, Appliance, and Component Manufacturing	3	T	126
335100	Electric Lighting Equipment Manufacturing	4	T	127
335200	Household Appliance Manufacturing	4	T	128
335300	Electrical Equipment Manufacturing	4	T	129
335900	Other Electrical Equipment and Component Manufacturing	4	T	130
336000	Transportation Equipment Manufacturing	3	T	131
336100	Motor Vehicle Manufacturing	4	T	132
336200	Motor Vehicle Body and Trailer Manufacturing	4	T	133
336300	Motor Vehicle Parts Manufacturing	4	T	134
336400	Aerospace Product and Parts Manufacturing	4	T	135
336500	Railroad Rolling Stock Manufacturing	4	T	136
336600	Ship and Boat Building	4	T	137
336900	Other Transportation Equipment Manufacturing	4	T	138
337000	Furniture and Related Product Manufacturing	3	T	139
3370A1	Furniture and Related Product Manufacturing (3371 and 3372 only)	4	T	140
337900	Other Furniture Related Product Manufacturing	4	T	141
339000	Miscellaneous Manufacturing	3	T	142
339100	Medical Equipment and Supplies Manufacturing	4	T	143
339900	Other Miscellaneous Manufacturing	4	T	144
339910	Jewelry and Silverware Manufacturing	5	T	145
42--43	Sector 42 - Wholesale Trade	2	T	146
423000	Merchant Wholesalers, Durable Goods	3	T	147
4230A1	Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)	4	T	149
423100	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	4	T	148
423400	Professional and Commercial Equipment and Supplies Merchant Wholesalers	4	T	150
423800	Machinery, Equipment, and Supplies Merchant Wholesalers	4	T	151
423820	Farm and Garden Machinery and Equipment Merchant Wholesalers	5	T	152
424000	Merchant Wholesalers, Nondurable Goods	3	T	153
