series_id        	sector_code	measure_code	duration_code	base_year	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
MPU4900012       	4900	01	2	2012	Multifactor productivity for Private Business Sector (NAICS 11-81), Indexes = 100.000	02	1987	A01	2020	A01
MPU4900013       	4900	01	3	-	Multifactor productivity for Private Business Sector (NAICS 11-81), % Change Year Ago	02	1988	A01	2020	A01
MPU4900022       	4900	02	2	2012	Real value-added output for Private Business Sector (NAICS 11-81), Indexes = 100.000		1987	A01	2020	A01
MPU4900023       	4900	02	3	-	Real value-added output for Private Business Sector (NAICS 11-81), % Change Year Ago		1988	A01	2020	A01
MPU4900032       	4900	03	2	2012	Combined inputs of value-added for Private Business Sector (NAICS 11-81), Indexes = 100.000	01	1987	A01	2020	A01
MPU4900033       	4900	03	3	-	Combined inputs of value-added for Private Business Sector (NAICS 11-81), % Change Year Ago	01	1988	A01	2020	A01
MPU4900042       	4900	04	2	2012	Capital input for Private Business Sector (NAICS 11-81), Indexes = 100.000	00	1987	A01	2020	A01
MPU4900043       	4900	04	3	-	Capital input for Private Business Sector (NAICS 11-81), % Change Year Ago	00	1988	A01	2020	A01
MPU4900052       	4900	05	2	2012	Labor input for Private Business Sector (NAICS 11-81), Indexes = 100.000	03	1987	A01	2020	A01
MPU4900053       	4900	05	3	-	Labor input for Private Business Sector (NAICS 11-81), % Change Year Ago	03	1988	A01	2020	A01
MPU4900062       	4900	06	2	2012	Labor productivity for Private Business Sector (NAICS 11-81), Indexes = 100.000		1987	A01	2020	A01
MPU4900063       	4900	06	3	-	Labor productivity for Private Business Sector (NAICS 11-81), % Change Year Ago		1988	A01	2020	A01
MPU4900072       	4900	07	2	2012	Capital productivity for Private Business Sector (NAICS 11-81), Indexes = 100.000		1987	A01	2020	A01
MPU4900073       	4900	07	3	-	Capital productivity for Private Business Sector (NAICS 11-81), % Change Year Ago		1988	A01	2020	A01
MPU4900082       	4900	08	2	2012	Capital intensity for Private Business Sector (NAICS 11-81), Indexes = 100.000		1987	A01	2020	A01
MPU4900083       	4900	08	3	-	Capital intensity for Private Business Sector (NAICS 11-81), % Change Year Ago		1988	A01	2020	A01
