estimate_datatype_code,estimate_code,estimate_text,datatype_code,datatype_text
01_D_CM,1,Total compensation,D,Cost of compensation (Cost per hour worked)
01_L_CM,1,Total compensation,L,"Average employer cost per employee hour worked at 50th percentile (median), constant dollar"
01_M_CM,1,Total compensation,M,"Average employer cost per employee worked at 50th percentile (median), current dollar"
01_N_CM,1,Total compensation,N,"Average employer cost per employee hour worked at 90th percentile, current dollar"
01_P_CM,1,Total compensation,P,Percent of total compensation
01_R_CM,1,Total compensation,R,"Average employer cost per employee hour worked at 90th percentile, constant dollar"
01_T_CM,1,Total compensation,T,"Average employer cost per employee hour worked at 10th percentile, current dollar"
01_X_CM,1,Total compensation,X,"Average employer cost per employee hour worked at 10th percentile, constant dollar"
02_D_CM,2,Wages and salaries,D,Cost of compensation (Cost per hour worked)
02_L_CM,2,Wages and salaries,L,"Average employer cost per employee hour worked at 50th percentile (median), constant dollar"
02_M_CM,2,Wages and salaries,M,"Average employer cost per employee worked at 50th percentile (median), current dollar"
02_N_CM,2,Wages and salaries,N,"Average employer cost per employee hour worked at 90th percentile, current dollar"
02_P_CM,2,Wages and salaries,P,Percent of total compensation
02_R_CM,2,Wages and salaries,R,"Average employer cost per employee hour worked at 90th percentile, constant dollar"
02_T_CM,2,Wages and salaries,T,"Average employer cost per employee hour worked at 10th percentile, current dollar"
02_X_CM,2,Wages and salaries,X,"Average employer cost per employee hour worked at 10th percentile, constant dollar"
03_D_CM,3,Total benefits,D,Cost of compensation (Cost per hour worked)
03_L_CM,3,Total benefits,L,"Average employer cost per employee hour worked at 50th percentile (median), constant dollar"
03_M_CM,3,Total benefits,M,"Average employer cost per employee worked at 50th percentile (median), current dollar"
03_N_CM,3,Total benefits,N,"Average employer cost per employee hour worked at 90th percentile, current dollar"
03_P_CM,3,Total benefits,P,Percent of total compensation
03_R_CM,3,Total benefits,R,"Average employer cost per employee hour worked at 90th percentile, constant dollar"
03_T_CM,3,Total benefits,T,"Average employer cost per employee hour worked at 10th percentile, current dollar"
03_X_CM,3,Total benefits,X,"Average employer cost per employee hour worked at 10th percentile, constant dollar"
04_D_CM,4,Paid leave,D,Cost of compensation (Cost per hour worked)
04_L_CM,4,Paid leave,L,"Average employer cost per employee hour worked at 50th percentile (median), constant dollar"
04_M_CM,4,Paid leave,M,"Average employer cost per employee worked at 50th percentile (median), current dollar"
04_N_CM,4,Paid leave,N,"Average employer cost per employee hour worked at 90th percentile, current dollar"
04_P_CM,4,Paid leave,P,Percent of total compensation
