datatype_provision_code,datatype_code,datatype_text,provision_code,provision_text
28_007_NB,28,Percent with access to benefit - occupation-level,007,Medical care and retirement benefits
28_008_NB,28,Percent with access to benefit - occupation-level,008,Medical care and no retirement benefits
28_009_NB,28,Percent with access to benefit - occupation-level,009,Retirement and no medical care benefits
28_010_NB,28,Percent with access to benefit - occupation-level,010,No medical care and no retirement benefits
28_011_NB,28,Percent with access to benefit - occupation-level,011,Medical care and life insurance benefits
28_012_NB,28,Percent with access to benefit - occupation-level,012,Medical care and no life insurance benefits
28_013_NB,28,Percent with access to benefit - occupation-level,013,Life insurance and no medical care benefits
28_014_NB,28,Percent with access to benefit - occupation-level,014,No medical care and no life insurance benefits
28_015_NB,28,Percent with access to benefit - occupation-level,015,Medical care benefits and defined benefit retirement
28_016_NB,28,Percent with access to benefit - occupation-level,016,Defined benefit retirement and no medical care benefits
28_017_NB,28,Percent with access to benefit - occupation-level,017,Medical care benefits and no defined benefit retirement
28_018_NB,28,Percent with access to benefit - occupation-level,018,No medical care benefits and no defined benefit retirement
28_019_NB,28,Percent with access to benefit - occupation-level,019,Medical care benefits and defined contrib. retirement
28_020_NB,28,Percent with access to benefit - occupation-level,020,Defined contrib. retirement and no medical care benefits
28_021_NB,28,Percent with access to benefit - occupation-level,021,Medical care benefits and no defined contrib. retirement
28_022_NB,28,Percent with access to benefit - occupation-level,022,No medical care benefits and no defined contrib. retirement
28_023_NB,28,Percent with access to benefit - occupation-level,023,"Access to personal leave, sick leave, paid family leave, or vacation"
28_024_NB,28,Percent with access to benefit - occupation-level,024,"Access to personal leave, sick leave, or paid family leave"
28_025_NB,28,Percent with access to benefit - occupation-level,025,Access to sick leave and vacation
28_026_NB,28,Percent with access to benefit - occupation-level,026,Access to personal leave and sick leave
28_027_NB,28,Percent with access to benefit - occupation-level,027,"Access to personal leave, vacation, or holidays"
28_028_NB,28,Percent with access to benefit - occupation-level,028,Access to personal leave and vacation
28_029_NB,28,Percent with access to benefit - occupation-level,029,Access to vacation and holidays
20_063_NB,20,Percent participation,063,Access to consolidated leave plans
20_068_NB,20,Percent participation,068,Access to paid vacation w/out consolidated leave plans
23_032_NB,23,Median,032,Median # of annual paid vacation days after one yr of service
23_040_NB,23,Median,040,Median # of annual paid vacation days after five yrs of service
23_048_NB,23,Median,048,Median # of annual paid vacation days after ten yrs of service
23_056_NB,23,Median,056,Median # of annual paid vacation days after twenty yrs of service
29_033_NB,29,Access to benefit - plan-level,033,Access to less than 5 paid vacation days after one yr of service
29_034_NB,29,Access to benefit - plan-level,034,Access to 5 to 9 paid vacation days after one yr of service
29_035_NB,29,Access to benefit - plan-level,035,Access to 10 to 14 paid vacation days after one yr of service
29_036_NB,29,Access to benefit - plan-level,036,Access to 15 to 19 paid vacation days after one yr of service
29_037_NB,29,Access to benefit - plan-level,037,Access to 20 to 24 paid vacation days after one yr of service
29_038_NB,29,Access to benefit - plan-level,038,Access to more than 24 paid vacation days after one yr of service
29_041_NB,29,Access to benefit - plan-level,041,Access to less than 5 paid vacation days after five yrs of service
29_042_NB,29,Access to benefit - plan-level,042,Access to 5 to 9 paid vacation days after five yrs of service
29_043_NB,29,Access to benefit - plan-level,043,Access to 10 to 14 paid vacation days after five yrs of service
29_044_NB,29,Access to benefit - plan-level,044,Access to 15 to 19 paid vacation days after five yrs of service
29_045_NB,29,Access to benefit - plan-level,045,Access to 20 to 24 paid vacation days after five yrs of service
29_046_NB,29,Access to benefit - plan-level,046,Access to more than 24 paid vacation days after five yrs of service
29_049_NB,29,Access to benefit - plan-level,049,Access to less than 5 paid vacation days after ten yrs of service
29_050_NB,29,Access to benefit - plan-level,050,Access to 5 to 9 paid vacation days after ten yrs of service
29_051_NB,29,Access to benefit - plan-level,051,Access to 10 to 14 paid vacation days after ten yrs of service
29_052_NB,29,Access to benefit - plan-level,052,Access to 15 to 19 paid vacation days after ten yrs of service
29_053_NB,29,Access to benefit - plan-level,053,Access to 20 to 24 paid vacation days after ten yrs of service
29_054_NB,29,Access to benefit - plan-level,054,Access to more than 24 paid vacation days after ten yrs of service
29_057_NB,29,Access to benefit - plan-level,057,Access to less than 5 paid vacation days after twenty yrs of service
29_058_NB,29,Access to benefit - plan-level,058,Access to 5 to 9 paid vacation days after twenty yrs of service
29_059_NB,29,Access to benefit - plan-level,059,Access to 10 to 14 paid vacation days after twenty yrs of service
29_060_NB,29,Access to benefit - plan-level,060,Access to 15 to 19 paid vacation days after twenty yrs of service
29_061_NB,29,Access to benefit - plan-level,061,Access to 20 to 24 paid vacation days after twenty yrs of service
29_062_NB,29,Access to benefit - plan-level,062,Access to more than 24 paid vacation days after twenty yrs of service
30_031_NB,30,Mean,031,Mean # of annual paid vacation days after one yr of service
30_039_NB,30,Mean,039,Mean # of annual paid vacation days after five yrs of service
30_047_NB,30,Mean,047,Mean # of annual paid vacation days after ten yrs of service
30_055_NB,30,Mean,055,Mean # of annual paid vacation days after twenty yrs of service
30_064_NB,30,Mean,064,Mean # of paid days after 1 yr of service for workers w/ consolidated leave plans
30_065_NB,30,Mean,065,Mean # of paid days after 5 yrs of service for workers w/ consolidated leave plans
30_066_NB,30,Mean,066,Mean # of paid days after 10 yrs of service for workers w/ consolidated leave plans
30_067_NB,30,Mean,067,Mean # of paid days after 20 yrs of service for workers w/ consolidated leave plans
