YEAR,NAICS,SECTOR_CODE_MP,SECTOR_NAME_MP,01_2_MP,01_3_MP,03_2_MP,03_3_MP,04_2_MP,04_3_MP,05_2_MP,05_3_MP,06_2_MP,06_3_MP,07_2_MP,07_3_MP,08_2_MP,08_3_MP,15_2_MP,15_3_MP,16_2_MP,16_3_MP,17_2_MP,17_3_MP,18_2_MP,18_3_MP,19_2_MP,19_3_MP,20_2_MP,20_3_MP,51_2_MP,51_3_MP,55_2_MP,55_3_MP,56_2_MP,56_3_MP,57_2_MP,57_3_MP,61_1_MP,62_1_MP,63_1_MP,64_1_MP,65_1_MP,66_1_MP,67_1_MP,68_1_MP,69_1_MP,70_1_MP,71_1_MP,74_2_MP,74_3_MP,76_2_MP,76_3_MP,77_2_MP,77_3_MP,78_2_MP,78_3_MP
1987,311000,5500,"Food and beverage and tobacco products (NAICS 311,312)",     102.497,,      77.001,,      68.808,,      88.558,,      80.523,,     114.703,,      70.201,,      94.764,,      99.155,,      96.814,,      98.501,,      99.331,,      99.469,,      78.924,,      73.104,,      71.122,,     110.601,,     293.587,      35.201,      45.889,       3.922,     175.639,      32.937,       0.120,       0.156,       0.013,       0.598,       0.112,      99.710,,      83.511,,     101.073,,      84.158,
1987,312000,5500,"Food and beverage and tobacco products (NAICS 311,312)",     102.497,,      77.001,,      68.808,,      88.558,,      80.523,,     114.703,,      70.201,,      94.764,,      99.155,,      96.814,,      98.501,,      99.331,,      99.469,,      78.924,,      73.104,,      71.122,,     110.601,,     293.587,      35.201,      45.889,       3.922,     175.639,      32.937,       0.120,       0.156,       0.013,       0.598,       0.112,      99.710,,      83.511,,     101.073,,      84.158,
1987,313000,5550,"Textile mills and textile product mills (NAICS 313,314)",      85.605,,     199.560,,     129.634,,     253.174,,      55.217,,     131.781,,      41.901,,      92.459,,      99.354,,      94.436,,      94.503,,      99.196,,      99.388,,     170.832,,     250.344,,     174.188,,     248.422,,      54.494,       4.508,      16.630,       1.821,      25.447,       6.088,       0.083,       0.305,       0.033,       0.467,       0.112,      99.480,,      76.323,,      97.227,,      73.821,
1987,314000,5550,"Textile mills and textile product mills (NAICS 313,314)",      85.605,,     199.560,,     129.634,,     253.174,,      55.217,,     131.781,,      41.901,,      92.459,,      99.354,,      94.436,,      94.503,,      99.196,,      99.388,,     170.832,,     250.344,,     174.188,,     248.422,,      54.494,       4.508,      16.630,       1.821,      25.447,       6.088,       0.083,       0.305,       0.033,       0.467,       0.112,      99.480,,      76.323,,      97.227,,      73.821,
1987,315000,5600,"Apparel and leather and applied products (NAICS 315,316)",     106.225,,     521.746,,     107.406,,     389.584,,     106.402,,     516.006,,      20.620,,      87.440,,      98.804,,      90.762,,      90.041,,      98.171,,      99.345,,     554.222,,    2356.069,,    1159.040,,     538.033,,      65.946,       4.721,      18.037,       0.705,      36.913,       5.570,       0.072,       0.274,       0.011,       0.560,       0.084,     101.458,,     122.823,,     102.096,,     127.041,
1987,316000,5600,"Apparel and leather and applied products (NAICS 315,316)",     106.225,,     521.746,,     107.406,,     389.584,,     106.402,,     516.006,,      20.620,,      87.440,,      98.804,,      90.762,,      90.041,,      98.171,,      99.345,,     554.222,,    2356.069,,    1159.040,,     538.033,,      65.946,       4.721,      18.037,       0.705,      36.913,       5.570,       0.072,       0.274,       0.011,       0.560,       0.084,     101.458,,     122.823,,     102.096,,     127.041,
1987,321000,5000,Wood products (NAICS 321),     103.403,,     113.943,,      96.350,,     141.590,,      72.175,,     122.284,,      59.022,,      97.305,,      99.038,,      98.532,,      96.051,,     100.089,,      99.645,,     117.820,,     139.467,,      98.600,,     121.156,,      47.121,       6.392,      13.305,       1.302,      21.645,       4.477,       0.136,       0.282,       0.028,       0.459,       0.095,      99.645,,      77.317,,      96.935,,      74.682,
1987,322000,5650,Paper products (NAICS 322),      96.133,,     105.096,,      97.061,,     153.163,,      59.220,,     104.092,,      56.892,,      90.012,,      98.452,,      93.271,,      97.236,,      99.109,,      99.000,,     101.032,,     131.860,,      77.483,,     125.801,,      83.681,      15.374,      23.875,       5.267,      28.991,      10.174,       0.184,       0.285,       0.063,       0.346,       0.122,      98.893,,      73.518,,      96.807,,      70.368,
1987,323000,5700,Printing and related support activities (NAICS 323),      81.150,,     144.306,,      71.880,,     152.949,,      70.066,,     162.917,,      43.007,,      92.318,,      98.886,,      95.452,,      96.973,,      99.341,,      98.587,,     117.105,,     118.311,,     174.647,,     133.022,,      64.559,       3.905,      22.250,       0.870,      28.644,       8.890,       0.060,       0.345,       0.013,       0.444,       0.138,      99.452,,     100.321,,      96.665,,      96.426,
1987,324000,5750,Petroleum and coal products (NAICS 324),      84.444,,      89.623,,      80.748,,     118.004,,      58.115,,      93.725,,      62.006,,      90.887,,      98.607,,      95.299,,      99.374,,      97.574,,      99.135,,      75.681,,      43.512,,      91.961,,      41.476,,     124.540,      12.369,       8.713,       2.807,      95.407,       5.244,       0.099,       0.070,       0.023,       0.766,       0.042,      99.025,,      79.386,,      96.929,,      76.125,
