ESTIMATE_CODE,ESTIMATE TEXT,CATEGORY CODE,CATEGORY,DATATYPE CODE,DATATYPE
1000_OR,Percent of day where sitting is required (50th Percentile - median),78,Sitting,1,Percentage
1001_OR,Percent of day where sitting is required (75th Percentile),78,Sitting,1,Percentage
1002_OR,Percent of day where sitting is required (90th Percentile),78,Sitting,1,Percentage
1003_OR,"Percent of day where standing is required, mean",77,Standing,1,Percentage
1004_OR,Percent of day where standing is required (10th Percentile),77,Standing,1,Percentage
1005_OR,Percent of day where standing is required (25th Percentile),77,Standing,1,Percentage
1006_OR,Percent of day where standing is required (50th Percentile - median),77,Standing,1,Percentage
1007_OR,Percent of day where standing is required (75th Percentile),77,Standing,1,Percentage
1008_OR,Percent of day where standing is required (90th Percentile),77,Standing,1,Percentage
1029_OR,"Percent of workers, minimum education level is a bachelor's degree",73,Minimum education level,1,Percentage
107_OR,"Percent of workers, prior work experience is required",13,Prior work experience,1,Percentage
1084_OR,"Percent of workers, credentials: certification is required",89,Credentials: Certification,1,Percentage
1085_OR,"Percent of workers, credentials: certification is not required",89,Credentials: Certification,1,Percentage
1087_OR,"Percent of workers, credentials: license is required",90,Credentials: License,1,Percentage
1087_OR,"Percent of workers, credentials: license is required",91,Credentials: Educational certificate,1,Percentage
1088_OR,"Percent of workers, credentials: license is not required",90,Credentials: License,1,Percentage
1088_OR,"Percent of workers, credentials: license is not required",91,Credentials: Educational certificate,1,Percentage
108_OR,"Days of prior work experience, mean",13,Prior work experience,2,Days
1090_OR,"Percent of workers, credentials: educational certificate is required",91,Credentials: Educational certificate,1,Percentage
1090_OR,"Percent of workers, credentials: educational certificate is required",90,Credentials: License,1,Percentage
1091_OR,"Percent of workers, credentials: educational certificate is not required",91,Credentials: Educational certificate,1,Percentage
1091_OR,"Percent of workers, credentials: educational certificate is not required",90,Credentials: License,1,Percentage
1097_OR,"Percent of workers, driving is required",31,Driving,1,Percentage
1099_OR,"Percent of workers, lifting or carrying negligible weight is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
109_OR,Days of prior work experience (10th Percentile),13,Prior work experience,2,Days
1100_OR,"Percent of workers, lifting or carrying no weight is required, seldom",24,Lifting or carrying: Seldom,1,Percentage
1101_OR,"Percent of workers, lifting or carrying negligible weight is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
1102_OR,"Percent of workers, lifting or carrying no weight is required, occasionally",25,Lifting or carrying: Occasionally,1,Percentage
1103_OR,"Percent of workers, lifting or carrying no weight is required, frequently",26,Lifting or carrying: Frequently,1,Percentage
1107_OR,"Percent of workers, credentials: certification is required, with no associated time",89,Credentials: Certification,1,Percentage
1108_OR,"Percent of workers, credentials: certification is required, with associated time",89,Credentials: Certification,1,Percentage
110_OR,Days of prior work experience (25th Percentile),13,Prior work experience,2,Days
1111_OR,"Percent of workers, credentials: license is required, with no associated time",90,Credentials: License,1,Percentage
1111_OR,"Percent of workers, credentials: license is required, with no associated time",91,Credentials: Educational certificate,1,Percentage
