estimate_code	estimate_text	display_level	selectable	sort_sequence
00064	Percent of workers, specific vocational preparation is short demonstration only	0	T	286
00065	Percent of workers, specific vocational preparation is beyond short demonstration, up to and including 1 month	0	T	287
00066	Percent of workers, specific vocational preparation is over 1 month, up to and including 3 months	0	T	288
00067	Percent of workers, specific vocational preparation is over 3 months, up to and including 6 months	0	T	289
00068	Percent of workers, specific vocational preparation is over 6 months, up to and including 1 year	0	T	290
00069	Percent of workers, specific vocational preparation is over 1 year, up to and including 2 years	0	T	291
00070	Percent of workers, specific vocational preparation is over 2 years, up to and including 4 years	0	T	292
00071	Percent of workers, specific vocational preparation is over 4 years, up to and including 10 years	0	T	293
00072	Percent of workers, specific vocational preparation is over 10 years	0	T	294
00075	Percent of workers, no minimum education requirement	0	T	316
00076	Percent of workers, minimum education level is a high school diploma	0	T	317
00077	Percent of workers, minimum education level is an associate's degree	0	T	318
00079	Percent of workers, minimum education level is a master's degree	0	T	319
00080	Percent of workers, minimum education level is a professional degree	0	T	320
00081	Percent of workers, minimum education level is a doctorate degree	0	T	323
00085	Percent of workers, literacy is required	0	T	295
00086	Percent of workers, literacy is not required	0	T	296
00098	Percent of workers, credentials are required	0	T	297
00099	Percent of workers, credentials are not required	0	T	298
00107	Percent of workers, prior work experience is required	0	T	305
00108	Days of prior work experience, mean	0	T	299
00109	Days of prior work experience (10th Percentile)	0	T	300
00110	Days of prior work experience (25th Percentile)	0	T	301
00111	Days of prior work experience (50th Percentile - median)	0	T	302
00112	Days of prior work experience (75th Percentile)	0	T	303
00113	Days of prior work experience (90th Percentile)	0	T	304
00114	Percent of workers, prior work experience is not required	0	T	306
00116	Days of on-the-job training, mean	0	T	307
00117	Days of on-the-job training (10th Percentile)	0	T	308
00118	Days of on-the-job training (25th Percentile)	0	T	309
00119	Days of on-the-job training (50th Percentile - median)	0	T	310
00120	Days of on-the-job training (75th Percentile)	0	T	311
00121	Days of on-the-job training (90th Percentile)	0	T	312
00122	Percent of workers, on-the-job training is required	0	T	313
00123	Percent of workers, on-the-job training is not required	0	T	314
00125	Hours of standing, mean	0	T	240
00126	Hours of standing (10th Percentile)	0	T	241
00127	Hours of standing (25th Percentile)	0	T	242
00128	Hours of standing (50th Percentile - median)	0	T	243
00129	Hours of standing (75th Percentile)	0	T	244
00130	Hours of standing (90th Percentile)	0	T	245
00132	Hours of sitting, mean	0	T	249
00133	Hours of sitting (10th Percentile)	0	T	250
00134	Hours of sitting (25th Percentile)	0	T	251
00135	Hours of sitting (50th Percentile - median)	0	T	252
00136	Hours of sitting (75th Percentile)	0	T	253
00137	Hours of sitting (90th Percentile)	0	T	254
00139	Percent of workers, choice of sitting or standing is allowed	0	T	106
00140	Percent of workers, choice of sitting or standing is not allowed	0	T	107
00142	Percent of workers, reaching overhead is not required	0	T	109
00143	Percent of workers, reaching overhead is required, seldom	0	T	110
00144	Percent of workers, reaching overhead is required, occasionally	0	T	111
00145	Percent of workers, reaching overhead is required, frequently	0	T	112
00156	Percent of workers, reaching overhead is required, one hand	0	T	114
00157	Percent of workers, reaching overhead is required, both hands	0	T	115
00159	Percent of workers, reaching at or below the shoulder is not required	0	T	117
00160	Percent of workers, reaching at or below the shoulder is required, seldom	0	T	118
00161	Percent of workers, reaching at or below the shoulder is required, occasionally	0	T	119
00162	Percent of workers, reaching at or below the shoulder is required, frequently	0	T	120
00163	Percent of workers, reaching at or below the shoulder is required, constantly	0	T	121
00173	Percent of workers, reaching at or below the shoulder is required, one hand	0	T	122
00174	Percent of workers, reaching at or below the shoulder is required, both hands	0	T	123
00176	Percent of workers, keyboarding is not required	0	T	125
00177	Percent of workers, keyboarding is required, seldom	0	T	126
00178	Percent of workers, keyboarding is required, occasionally	0	T	127
00179	Percent of workers, keyboarding is required, frequently	0	T	128
00180	Percent of workers, keyboarding is required, constantly	0	T	129
00233	Pounds maximum weight lifted or carried, mean	0	T	258
00234	Pounds maximum weight lifted or carried (10th Percentile)	0	T	259
00235	Pounds maximum weight lifted or carried (25th Percentile)	0	T	260
00236	Pounds maximum weight lifted or carried (50th Percentile - median)	0	T	261
00237	Pounds maximum weight lifted or carried (75th Percentile)	0	T	262
00238	Pounds maximum weight lifted or carried (90th Percentile)	0	T	263
00239	Percent of workers, lifting or carrying >1 lb and less than or equal to 10 lbs is required, seldom	0	T	136
00243	Percent of workers, lifting or carrying  > 100 lbs is required, seldom	0	T	137
00246	Percent of workers, lifting or carrying  >1 lb and less than or equal to 10 lbs is required, occasionally	0	T	144
00250	Percent of workers, lifting or carrying  > 100 lbs is required, occasionally	0	T	145
00253	Percent of workers, lifting or carrying negligible weight is required, frequently	0	T	147
00254	Percent of workers, lifting or carrying >1 lb and less than or equal to 10 lbs is required, frequently	0	T	148
00255	Percent of workers, lifting or carrying > 10 lbs and less than or equal to 25 lbs is required, frequently	0	T	149
00256	Percent of workers, lifting or carrying > 25 lbs and less than or equal to 50 lbs is required, frequently	0	T	150
00257	Percent of workers, lifting or carrying > 50 lbs is required, frequently	0	T	151
00259	Percent of workers, lifting or carrying no weight is required, constantly	0	T	154
00261	Percent of workers, lifting or carrying negligible weight is required, constantly	0	T	155
00262	Percent of workers, lifting or carrying >1 lb and less than or equal to 10 lbs is required, constantly	0	T	156
00267	Percent of workers, crawling is not required	0	T	272
00281	Percent of workers, pushing or pulling with hands or arms is not required	0	T	158
00282	Percent of workers, pushing or pulling with hands or arms is required, seldom	0	T	159
00283	Percent of workers, pushing or pulling with hands or arms is required, occasionally	0	T	160
00284	Percent of workers, pushing or pulling with hands or arms is required, frequently	0	T	161
00285	Percent of workers, pushing or pulling with hands or arms is required, constantly	0	T	162
00295	Percent of workers, pushing or pulling with feet or legs is not required	0	T	164
00296	Percent of workers, pushing or pulling with feet or legs is required, seldom	0	T	165
00297	Percent of workers, pushing or pulling with feet or legs is required, occasionally	0	T	166
00311	Percent of workers, driving is not required	0	T	170
00313	Percent of workers, foot or leg controls is not required	0	T	172
00314	Percent of workers, foot or leg controls is required, seldom	0	T	173
00315	Percent of workers, foot or leg controls is required, occasionally	0	T	174
00316	Percent of workers, foot or leg controls is required, frequently	0	T	175
00317	Percent of workers, foot or leg controls is required, constantly	0	T	176
00327	Percent of workers, foot or leg controls is required, one foot or leg	0	T	177
00328	Percent of workers, foot or leg controls is required, both feet or legs	0	T	178
00330	Percent of workers, gross manipulation is not required	0	T	180
00331	Percent of workers, gross manipulation is required, seldom	0	T	181
00332	Percent of workers, gross manipulation is required, occasionally	0	T	182
00333	Percent of workers, gross manipulation is required, frequently	0	T	183
00334	Percent of workers, gross manipulation is required, constantly	0	T	184
00344	Percent of workers, gross manipulation is required, one hand	0	T	185
