additive_code	additive_text	display_level	selectable	sort_sequence
000	Not additive	0	T	14
010	Specific vocational preparation	0	T	56
012	Credentials	0	T	57
013	Prior work experience	0	T	58
014	On-the-job training	0	T	59
015	Choice of sitting or standing	0	T	25
016	Reaching overhead	0	T	26
018	Reaching at or below the shoulder	0	T	27
020	Keyboarding	0	T	28
024	Lifting or carrying: Seldom	0	T	29
025	Lifting or carrying: Occasionally	0	T	30
026	Lifting or carrying: Frequently	0	T	31
027	Lifting or carrying: Constantly	0	T	32
029	Pushing or pulling with hands or arms	0	T	33
030	Pushing or pulling with feet or legs	0	T	34
031	Driving	0	T	35
032	Foot or leg controls	0	T	36
034	Gross manipulation	0	T	37
036	Fine manipulation	0	T	38
038	Climbing structure-related ramps or stairs	0	T	39
039	Climbing work-related ramps or stairs	0	T	40
040	Climbing ladders, ropes, or scaffolds	0	T	41
043	Extreme cold	0	T	15
044	Extreme heat	0	T	16
045	Wetness	0	T	17
046	Humidity	0	T	18
047	Heavy vibrations	0	T	19
050	Heights	0	T	20
051	Proximity to moving mechanical parts	0	T	21
052	Near vision	0	T	42
053	Far vision	0	T	43
054	Peripheral vision	0	T	44
055	Speaking	0	T	45
056	Noise intensity level	0	T	22
059	Hearing requirements: Telephone	0	T	46
060	Hearing requirements: Other sounds	0	T	47
065	Outdoors	0	T	23
068	Strength	0	T	48
073	Minimum education level	0	T	60
081	Hazardous contaminants	0	T	24
095	Work review: Supervising others	0	T	2
096	Work review: Frequency of work being checked	0	T	3
097	Work review: Presence of supervisor	0	T	4
098	Pace: Control of workload	0	T	5
099	Pace: Work pace	0	T	6
100	Pace: Pause control	0	T	7
101	Personal contacts: Verbal interactions	0	T	8
102	Personal contacts: People skills	0	T	9
103	Problem solving	0	T	10
104	Interaction with general public	0	T	11
105	Working around crowds	0	T	12
106	Telework	0	T	13
107	Low postures	0	T	49
108	Crawling	0	T	50
109	Stooping	0	T	51
110	Kneeling	0	T	52
111	Crouching	0	T	53
112	Hearing requirements: Speech in-person	0	T	54
113	Hearing requirements: Other remote speech	0	T	55
